,index,zcr,type,normalized_zcr
0,0,0.0651717414665553,fin,-0.3746061298359659
1,1,0.2161765120515268,fin,2.2444356363293765
2,2,0.1491353416263505,fin,1.081666905805441
3,3,0.1441253597040971,fin,0.9947732808472046
4,4,0.063174230667452,fin,-0.4092511558901198
5,5,0.138601668489476,fin,0.8989698308075077
6,6,0.1104207531932522,fin,0.4101972318779517
7,7,0.1242573061691863,fin,0.6501797834446857
8,8,0.0755291291805979,fin,-0.1949665667522215
9,9,0.0568742678500711,fin,-0.518518337847955
10,10,0.0848954972522012,fin,-0.03251534695448091
11,11,0.0773777094802686,fin,-0.16290460609897395
12,12,0.0947212063490527,fin,0.13790272929009803
13,13,0.0725871389410619,fin,-0.24599273819797576
14,14,0.0720077658555022,fin,-0.2560414426421781
15,15,0.1131931023641688,fin,0.4582811317500995
16,16,0.057436867369985,fin,-0.5087605557953017
17,17,0.0619448811880179,fin,-0.43057311558304057
18,18,0.08396560723043,fin,-0.04864345201715335
19,19,0.1006218294814689,fin,0.24024372401717073
20,20,0.0614467940636371,fin,-0.43921198822851404
21,21,0.1228438722996079,fin,0.6256650457725043
22,22,0.1151127066010626,fin,0.49157493863750373
23,23,0.0572769324295222,fin,-0.5115344833163897
24,24,0.0552268717093048,fin,-0.5470909404311209
25,25,0.1135962425985119,fin,0.46527323608744003
26,26,0.0446081239571596,fin,-0.7312635580213261
27,27,0.1823176152763828,fin,1.6571835616640698
28,28,0.1136337209676132,fin,0.4659232646502716
29,29,0.0453331871401695,fin,-0.7186879900306239
30,30,0.0793236782576175,fin,-0.12915352999861596
31,31,0.0846610067472342,fin,-0.03658237360468995
32,32,0.1191133528808567,fin,0.5609625457829268
33,33,0.1736232427259286,fin,1.506387499049428
34,34,0.0476741866185897,fin,-0.678085462144899
35,35,0.1921023307368159,fin,1.8268906401996965
36,36,0.1868994761025533,fin,1.7366518117333276
37,37,0.2435714341010208,fin,2.7195758901804648
38,38,0.0581396178342401,fin,-0.4965719818188225
39,39,0.0760163061543187,fin,-0.1865169208453669
40,40,0.076354831900625,fin,-0.18064549661774892
41,41,0.1887368539831152,fin,1.768519476514899
42,42,0.0807224305776449,fin,-0.10489343058267726
43,43,0.0422563723974175,fin,-0.7720525710753418
44,44,0.0648933180090454,fin,-0.37943513398645584
45,45,0.1274759961712745,fin,0.7060050631040741
46,46,0.2009632422899206,fin,1.9805751718471216
47,47,0.1573838903396218,fin,1.224730555428024
48,48,0.0926155357242182,fin,0.10138176845644141
49,49,0.1315755079789408,fin,0.7771074038021405
50,50,0.0487823920945326,fin,-0.6588646361024901
51,51,0.096636610514507,fin,0.17112368972054381
52,52,0.072833273346935,fin,-0.2417237585718706
53,53,0.0767377601612521,fin,-0.17400395076365244
54,54,0.122879305233558,fin,0.6262795981045504
55,55,0.0687673442341663,fin,-0.31224363766811825
56,56,0.129259150026849,fin,0.7369322610009146
57,57,0.2347329608337194,fin,2.5662805303946454
58,58,0.084797635101355,fin,-0.03421267783614831
59,59,0.0862245768492604,fin,-0.009463658178214818
60,60,0.068954006514766,fin,-0.30900614850029623
61,61,0.1109940906710646,fin,0.4201412541408351
62,62,0.0511439818842911,fin,-0.6179049878081554
63,63,0.0479929882481142,fin,-0.6725561349613157
64,64,0.1506952589521041,fin,1.1087222671167887
65,65,0.0730614279396832,fin,-0.23776662261361456
66,66,0.0697008112911135,fin,-0.2960534921514345
67,67,0.0787263910340912,fin,-0.13951293903418735
68,68,0.2674463875936689,fin,3.1336654591409006
69,69,0.2785447002905938,fin,3.326155698850601
70,70,0.0619889157322736,fin,-0.42980937606598446
71,71,0.0665019084955309,fin,-0.35153558053234085
72,72,0.1099761985638674,fin,0.40248683215223047
73,73,0.0849368526112465,fin,-0.03179807549229583
74,74,0.0680909805143108,fin,-0.323974557324221
75,75,0.1058287484985258,fin,0.3305530455431347
76,76,0.061800185910293,fin,-0.43308272487723937
77,77,0.0654710676021797,fin,-0.36941458755641887
78,78,0.2488067098375823,fin,2.81037703347104
79,79,0.0587506657061369,fin,-0.4859739067287137
80,80,0.0698995341272915,fin,-0.292606823507624
81,81,0.0384533665384407,fin,-0.838012283096672
82,82,0.0621375719437728,fin,-0.427231067942287
83,83,0.0632571695475942,fin,-0.4078126557004243
84,84,0.1728634191676974,fin,1.4932090436521919
85,85,0.1828689939790853,fin,1.666746728746525
86,86,0.0662840113330345,fin,-0.35531481059968406
87,87,0.2221853734787415,fin,2.348653926811263
88,88,0.1077434513321582,fin,0.363761842004678
89,89,0.086742269858304,fin,-0.0004847391183428298
90,90,0.091425763034239,fin,0.08074623253775999
91,91,0.0555716674275619,fin,-0.5411107691861192
92,92,0.0559551082551479,fin,-0.5344603333196866
93,93,0.0705503083166034,fin,-0.2813197312154557
94,94,0.0937708579559824,fin,0.12141979219998365
95,95,0.0985557946509548,fin,0.20441021034401213
96,96,0.2274459733938177,fin,2.4398942951737816
97,97,0.0588283070885553,fin,-0.4846272868666467
98,98,0.2688792046090519,fin,3.1585163800225615
99,99,0.0732480845169017,fin,-0.2345292323658038
100,100,0.1548305241247782,fin,1.1804447177350497
101,101,0.0811941087819062,fin,-0.09671259687547294
102,102,0.2826870877502693,fin,3.398001679123289
103,103,0.0715011353776962,fin,-0.2648284920595312
104,104,0.0626654885709285,fin,-0.4180748294326174
105,105,0.1501002385346002,fin,1.0984021737904197
106,106,0.0983924852574572,fin,0.20157775597372657
107,107,0.0514443694499501,fin,-0.6126950359804748
108,108,0.0649094710007626,fin,-0.3791549748908724
109,109,0.1340601437670343,fin,0.8202011741348086
110,110,0.117348389718139,fin,0.5303508490729888
111,111,0.1113308907850929,fin,0.4259827488305211
112,112,0.0520123285241425,fin,-0.6028442972851337
113,113,0.1868713339490275,fin,1.736163711422401
114,114,0.1028861934426187,fin,0.27951707786604013
115,115,0.0315596526281701,fin,-0.9575775430884684
116,116,0.1801081082128264,fin,1.618861651305382
117,117,0.0443060525100339,fin,-0.7365027152567132
118,118,0.0456322106981167,fin,-0.7135016956884169
119,119,0.0923674167306334,fin,0.09707836794359573
120,120,0.0532558186149055,fin,-0.581277081422318
121,121,0.055121368564227,fin,-0.5489207974770284
122,122,0.0534584123927813,fin,-0.577763274780538
123,123,0.0949586892223104,fin,0.14202165587368484
124,124,0.0724909973227315,fin,-0.24766022799249438
125,125,0.0898915603756904,fin,0.05413686897305312
126,126,0.0625629265344253,fin,-0.41985367559876363
127,127,0.0684350729506048,fin,-0.31800658387156455
128,128,0.1654664819232291,fin,1.3649158280807991
129,129,0.076869450956583,fin,-0.17171989250605532
130,130,0.2048658227754963,fin,2.048261916099967
