savee,surprise,3,1,0.0,2.0194839173657902e-28,0.0
savee,surprise,5,1,0.0,8.338259768186095e-28,0.0
savee,surprise,8,104,0.7211538461538461,98459.00831096632,0.27884615384615385
savee,surprise,2,10,0.9,202038.8469616624,0.5
savee,surprise,1,24,0.7083333333333334,291331.7980246771,0.3333333333333333
savee,neutral,6,1,0.0,2.037233287733263e-28,0.0
savee,neutral,4,1,0.0,4.0389678347315804e-28,0.0
savee,neutral,1,1,0.0,8.077935669463161e-28,1.0
savee,neutral,7,1,0.0,3.243993257495106e-27,0.0
savee,neutral,0,25,0.0,10877.049562905057,0.76
savee,happy,1,1,1.0,8.582806648804608e-28,0.0
savee,happy,4,1,0.0,3.2319631286904854e-27,0.0
savee,happy,0,322,0.6708074534161491,245013.93313624113,0.13354037267080746
savee,happy,8,99,0.6565656565656566,405300.6133264757,0.15151515151515152
savee,happy,6,6,0.8333333333333334,538691.3656207783,0.0
ravdess,surprise,4,1,1.0,7.896312771987667e-31,0.0
ravdess,surprise,16,1,1.0,2.145701662201152e-28,0.0
ravdess,surprise,18,1,1.0,3.0296033583177852e-28,1.0
ravdess,surprise,15,1,1.0,4.183551247516619e-28,0.0
ravdess,surprise,6,1,1.0,3.232024758448706e-27,1.0
ravdess,neutral,3,1,1.0,7.888609052210118e-31,0.0
ravdess,neutral,10,1,1.0,1.2818989709841442e-29,0.0
ravdess,neutral,1,1,1.0,5.048709793414476e-29,0.0
ravdess,neutral,11,113,0.008849557522123894,731.979835063001,0.25663716814159293
ravdess,neutral,19,87,0.9655172413793104,4971.149707577673,0.20689655172413793
ravdess,happy,12,1,0.0,6.941975965944904e-29,0.0
ravdess,happy,8,1,1.0,1.6163759947978532e-27,0.0
ravdess,happy,16,239,0.23430962343096234,15338.561309959545,0.2928870292887029
ravdess,happy,4,192,0.8802083333333334,29231.030297029443,0.22916666666666666
ravdess,happy,1,89,0.9438202247191011,65960.14038422926,0.25842696629213485
crema,neutral,14,1,1.0,1.3435287292045357e-29,0.0
crema,neutral,8,1,0.0,4.1020767071492614e-29,1.0
crema,neutral,4,1,1.0,4.543838814073028e-28,0.0
crema,neutral,1,1,1.0,3.2311742677852644e-27,0.0
crema,neutral,7,38,0.07894736842105263,4653.631240989115,0.02631578947368421
ravdess,calm,17,1,0.0,1.9721522630525295e-31,0.0
ravdess,calm,14,1,0.0,7.888609052210118e-31,0.0
ravdess,calm,8,1,0.0,7.919423931320314e-31,0.0
ravdess,calm,16,1,1.0,5.127595883936577e-29,0.0
ravdess,calm,3,1,1.0,1.2924697071141057e-26,0.0
tess,surprise,11,1,1.0,4.930380657631324e-32,1.0
tess,surprise,12,1,1.0,4.733165431326071e-30,1.0
tess,surprise,14,1,1.0,2.524354896707238e-29,1.0
tess,surprise,9,1,1.0,2.0194916210855678e-28,0.0
tess,surprise,18,1,1.0,2.1624110303986558e-28,1.0
savee,angry,2,974,0.40965092402464065,166260.35539801314,0.1919917864476386
savee,angry,5,447,0.7449664429530202,328430.13458610297,0.24608501118568232
savee,angry,9,279,0.5412186379928315,516942.9771051348,0.25806451612903225
savee,angry,6,161,0.7391304347826086,540971.9418144278,0.33540372670807456
savee,angry,0,202,0.6633663366336634,621566.7896785598,0.36633663366336633
crema,happy,12,1,0.0,1.5777218104420236e-29,0.0
crema,happy,13,1,1.0,5.083345717534336e-28,0.0
crema,happy,10,1,1.0,1.6284061236024736e-27,0.0
crema,happy,17,1,1.0,1.2924697071141057e-26,1.0
crema,happy,1,513,0.19883040935672514,20610.75533878549,0.2378167641325536
tess,happy,0,231,0.03463203463203463,22406.621564274046,0.19480519480519481
tess,happy,4,315,0.48253968253968255,29651.746096809115,0.13968253968253969
tess,happy,16,2,0.0,60914.01542739829,0.0
tess,happy,17,193,0.9740932642487047,64514.36237952095,0.20207253886010362
tess,happy,11,146,0.9657534246575342,72645.68986978463,0.02054794520547945
tess,neutral,5,1,1.0,2.0684564023619106e-25,0.0
tess,neutral,11,164,0.07926829268292683,5401.43185711742,0.6829268292682927
tess,neutral,19,189,0.021164021164021163,5576.525201183244,0.5079365079365079
tess,neutral,8,70,0.0,5896.725154685897,0.6571428571428571
tess,neutral,7,116,0.9913793103448276,13806.559410359789,0.47413793103448276
ravdess,angry,15,1,0.0,4.859395502113077e-27,1.0
ravdess,angry,10,569,0.08787346221441125,26530.572673448434,0.3286467486818981
ravdess,angry,18,705,0.624113475177305,61875.29468461051,0.43546099290780144
ravdess,angry,7,245,0.726530612244898,113819.45809364076,0.4163265306122449
ravdess,angry,0,222,0.8873873873873874,125450.73483409568,0.32432432432432434
savee,sad,5,1609,0.7364822871348664,68310.33479798891,0.1497824735860783
savee,sad,3,1489,0.5177971793149765,85176.9866058399,0.11081262592343855
savee,sad,7,429,0.19347319347319347,257046.59289850973,0.09557109557109557
savee,sad,1,250,0.5,302046.0677653524,0.172
savee,sad,2,100,0.14,452693.5676620417,0.2
savee,disgust,4,2725,0.5577981651376147,103593.56360227117,0.1255045871559633
savee,disgust,0,197,0.6903553299492385,254033.8347605243,0.2436548223350254
savee,disgust,8,680,0.4485294117647059,263213.337860193,0.1514705882352941
savee,disgust,9,427,0.4918032786885246,339774.68436856923,0.1686182669789227
